date,commodity,geographic_level,district,state,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,source
2025-03-05,Potato,district,Hyderabad,Telangana,1100,1833.3333333333333,1533.3333333333333,CEDA
2025-03-06,Potato,district,Hyderabad,Telangana,850,1550,1300,CEDA
2025-03-07,Potato,district,Hyderabad,Telangana,933.3333333333334,1566.6666666666667,1366.6666666666667,CEDA
2025-03-08,Potato,district,Hyderabad,Telangana,1733.3333333333333,2000,1933.3333333333333,CEDA
2025-03-09,Potato,district,Hyderabad,Telangana,800,1750,1500,CEDA
2025-03-10,Potato,district,Hyderabad,Telangana,1350,1750,1575,CEDA
2025-03-11,Potato,district,Hyderabad,Telangana,1000,1833.3333333333333,1550,CEDA
2025-03-12,Potato,district,Hyderabad,Telangana,1033.3333333333333,1666.6666666666667,1433.3333333333333,CEDA
2025-03-13,Potato,district,Hyderabad,Telangana,1250,1775,1575,CEDA
2025-03-14,Potato,district,Hyderabad,Telangana,933.3333333333334,1600,1366.6666666666667,CEDA
2025-03-15,Potato,district,Hyderabad,Telangana,1266.6666666666667,1800,1566.6666666666667,CEDA
2025-03-16,Potato,district,Hyderabad,Telangana,1033.3333333333333,1733.3333333333333,1450,CEDA
2025-03-17,Potato,district,Hyderabad,Telangana,1433.3333333333333,2100,1833.3333333333333,CEDA
2025-03-18,Potato,district,Hyderabad,Telangana,1266.6666666666667,1933.3333333333333,1600,CEDA
2025-03-19,Potato,district,Hyderabad,Telangana,1400,2133.3333333333335,1866.6666666666667,CEDA
2025-03-20,Potato,district,Hyderabad,Telangana,1000,2100,1700,CEDA
2025-03-21,Potato,district,Hyderabad,Telangana,1466.6666666666667,2066.6666666666665,1800,CEDA
2025-03-22,Potato,district,Hyderabad,Telangana,1500,2050,1775,CEDA
2025-03-23,Potato,district,Hyderabad,Telangana,900,2000,1550,CEDA
2025-03-24,Potato,district,Hyderabad,Telangana,1366.6666666666667,1933.3333333333333,1700,CEDA
2025-03-25,Potato,district,Hyderabad,Telangana,1433.3333333333333,1866.6666666666667,1700,CEDA
2025-03-26,Potato,district,Hyderabad,Telangana,1333.3333333333333,1866.6666666666667,1666.6666666666667,CEDA
2025-03-27,Potato,district,Hyderabad,Telangana,1233.3333333333333,1733.3333333333333,1583.3333333333333,CEDA
2025-03-28,Potato,district,Hyderabad,Telangana,1233.3333333333333,1700,1566.6666666666667,CEDA
2025-03-29,Potato,district,Hyderabad,Telangana,1100,1900,1600,CEDA
2025-03-31,Potato,district,Hyderabad,Telangana,1450,2100,1800,CEDA
2025-04-01,Potato,district,Hyderabad,Telangana,1566.6666666666667,2100,1866.6666666666667,CEDA
