date,lag_1_modal_price,target_modal_price_next_observation
2025-03-05,1533.3333333333333,1300.0
2025-03-06,1300.0,1366.6666666666667
2025-03-07,1366.6666666666667,1933.3333333333333
2025-03-08,1933.3333333333333,1500.0
2025-03-09,1500.0,1575.0
2025-03-10,1575.0,1550.0
2025-03-11,1550.0,1433.3333333333333
2025-03-12,1433.3333333333333,1575.0
2025-03-13,1575.0,1366.6666666666667
2025-03-14,1366.6666666666667,1566.6666666666667
2025-03-15,1566.6666666666667,1450.0
2025-03-16,1450.0,1833.3333333333333
2025-03-17,1833.3333333333333,1600.0
2025-03-18,1600.0,1866.6666666666667
2025-03-19,1866.6666666666667,1700.0
2025-03-20,1700.0,1800.0
2025-03-21,1800.0,1775.0
2025-03-22,1775.0,1550.0
2025-03-23,1550.0,1700.0
2025-03-24,1700.0,1700.0
2025-03-25,1700.0,1666.6666666666667
2025-03-26,1666.6666666666667,1583.3333333333333
2025-03-27,1583.3333333333333,1566.6666666666667
2025-03-28,1566.6666666666667,1600.0
2025-03-29,1600.0,1800.0
2025-03-31,1800.0,1866.6666666666667
2025-04-01,1866.6666666666667,1833.3333333333333
2025-04-02,1833.3333333333333,1866.6666666666667
2025-04-03,1866.6666666666667,1766.6666666666667
2025-04-04,1766.6666666666667,2166.6666666666665
2025-04-05,2166.6666666666665,1800.0
2025-04-06,1800.0,1900.0
2025-04-07,1900.0,1850.0
2025-04-08,1850.0,1550.0
2025-04-09,1550.0,1566.6666666666667
2025-04-10,1566.6666666666667,1800.0
2025-04-11,1800.0,1666.6666666666667
2025-04-12,1666.6666666666667,1800.0
2025-04-13,1800.0,1733.3333333333333
2025-04-14,1733.3333333333333,1800.0
2025-04-15,1800.0,1966.6666666666667
2025-04-16,1966.6666666666667,1833.3333333333333
2025-04-17,1833.3333333333333,1650.0
2025-04-18,1650.0,1833.3333333333333
2025-04-19,1833.3333333333333,1850.0
2025-04-20,1850.0,1933.3333333333333
2025-04-21,1933.3333333333333,1650.0
2025-04-22,1650.0,1900.0
2025-04-23,1900.0,1833.3333333333333
2025-04-24,1833.3333333333333,1850.0
2025-04-25,1850.0,1912.5
2025-04-26,1912.5,1800.0
2025-04-28,1800.0,1833.3333333333333
2025-04-29,1833.3333333333333,1800.0
2025-04-30,1800.0,1933.3333333333333
2025-05-02,1933.3333333333333,1933.3333333333333
2025-05-03,1933.3333333333333,1600.0
2025-05-04,1600.0,2075.0
