date,commodity,market,district,state,variety,arrival_mt,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,source
2025-03-05,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,245.8,400.0,1000.0,800.0,agmarknet_official
2025-03-07,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,228.5,800.0,3000.0,2400.0,agmarknet_official
2025-03-08,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,234.4,400.0,1000.0,800.0,agmarknet_official
2025-03-09,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,294.2,400.0,1000.0,800.0,agmarknet_official
2025-03-10,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,185.7,400.0,1000.0,800.0,agmarknet_official
2025-03-11,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,171.8,400.0,1000.0,800.0,agmarknet_official
2025-03-12,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,314.1,400.0,800.0,700.0,agmarknet_official
2025-03-14,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,172.2,400.0,800.0,700.0,agmarknet_official
2025-03-15,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,206.0,600.0,800.0,700.0,agmarknet_official
2025-03-16,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,252.5,400.0,800.0,700.0,agmarknet_official
2025-03-17,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,226.6,400.0,800.0,700.0,agmarknet_official
2025-03-18,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,270.5,400.0,800.0,700.0,agmarknet_official
2025-03-19,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,280.8,400.0,800.0,700.0,agmarknet_official
2025-03-20,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,232.4,400.0,800.0,700.0,agmarknet_official
2025-03-21,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,262.8,400.0,800.0,700.0,agmarknet_official
2025-03-22,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,218.1,400.0,800.0,700.0,agmarknet_official
2025-03-23,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,187.9,400.0,800.0,700.0,agmarknet_official
2025-03-24,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,208.0,400.0,800.0,700.0,agmarknet_official
2025-03-25,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,272.6,400.0,800.0,700.0,agmarknet_official
2025-03-26,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,259.8,400.0,800.0,700.0,agmarknet_official
2025-03-27,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,237.0,400.0,800.0,700.0,agmarknet_official
2025-03-28,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,190.4,400.0,800.0,700.0,agmarknet_official
2025-03-29,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,228.2,400.0,800.0,700.0,agmarknet_official
2025-03-31,Tomato,Bowenpally APMC,Hyderabad,Telangana,Deshi,97.8,400.0,1400.0,1100.0,agmarknet_official
