State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Prakasam,"Maddipadu APMC",Paddy(Common),"B P T",FAQ,13/09/2026,2800,2800,2800
"Andhra Pradesh",Prakasam,"Maddipadu APMC","Bajra(Pearl Millet/Cumbu)",Bold,FAQ,13/09/2026,2850,2850,2850
Keralam,Kozhikode(Calicut),"Mukkom Market",Apple,Other,Large,13/09/2026,17000,18000,17500
Keralam,Kozhikode(Calicut),"Mukkom Market","Banana - Green","Banana - Green",FAQ,13/09/2026,5400,5800,5600
Keralam,Kozhikode(Calicut),"Mukkom Market",Pineapple,Other,Large,13/09/2026,8000,9000,8500
Keralam,Kozhikode(Calicut),"Mukkom Market",Grapes,Other,Large,13/09/2026,8000,9000,8500
"Madhya Pradesh",Mandla,"Krishi Upaj Mandi Samiti Bichhiya",Paddy(Common),Common,Non-FAQ,13/09/2026,2000,2200,2000
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Brinjal,Brinjal,"Grade A",13/09/2026,2300,2300,2300
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Little gourd(Kundru)","Little gourd (Kundru)","Grade A",13/09/2026,2800,2800,2800
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Beetroot,Beetroot,"Grade A",13/09/2026,3200,3200,3200
Haryana,Sonipat,"Ganaur APMC",Carrot,Carrot,Medium,13/09/2026,4000,5000,4500
Punjab,Gurdaspur,"Quadian APMC",Onion,Other,"Grade A",13/09/2026,3200,3400,3300
Keralam,Kollam,"Anchal Market",Beetroot,Beetroot,Local,13/09/2026,3600,3600,3600
Keralam,Kollam,"Anchal Market","Bhindi(Ladies Finger)",Bhindi,Local,13/09/2026,5300,5300,5300
Keralam,Kollam,"Anchal Market",Capsicum,Capsicum,Local,13/09/2026,5700,5700,5700
Keralam,Kollam,"Anchal Market",Carrot,Carrot,Local,13/09/2026,5300,5300,5300
Keralam,Kollam,"Anchal Market",Potato,Potato,Local,13/09/2026,4400,4400,4400
Keralam,Kollam,"Anchal Market",Banana,"Nendra Bale",Medium,13/09/2026,7600,7600,7600
Keralam,Kollam,"Anchal Market",Banana,Robusta,Medium,13/09/2026,4400,4400,4400
Rajasthan,Jhunjhunu,"Surajgarh APMC",Mustard,Other,FAQ,13/09/2026,7570,7570,7570
Rajasthan,Jalore,"Jalore APMC",Tinda,Tinda,Local,13/09/2026,1800,2200,2000
Rajasthan,Jalore,"Jalore APMC",Tomato,Tomato,Local,13/09/2026,1800,2000,1900
Punjab,Patiala,"Rajpura APMC","Bhindi(Ladies Finger)",Bhindi,"Grade B",13/09/2026,2200,2400,2300
Punjab,Patiala,"Rajpura APMC",Onion,Local,"Grade B",13/09/2026,3000,3500,3300
Punjab,Sangrur,"Ahmedgarh APMC","Green Chilli","Green Chilly",Local,13/09/2026,2000,2500,2500
Punjab,Sangrur,"Ahmedgarh APMC",Pumpkin,Pumpkin,Local,13/09/2026,1700,2000,2000
Punjab,Sangrur,"Ahmedgarh APMC",Tomato,Local,Medium,13/09/2026,3000,3500,3500
Punjab,Tarntaran,"Tarantaran APMC",Paddy(Basmati),"Basmati 1509",Local,13/09/2026,3670,3670,3670
Karnataka,Vijayanagara,"Hospet APMC",Maize,Hybrid/Local,Local,13/09/2026,2500,2500,2500
Karnataka,Vijayanagara,"Hospet APMC",Paddy(Common),Paddy,Local,13/09/2026,2800,3100,3000
Karnataka,Vijayanagara,"Hospet APMC","Green Chilli","Green Chilly",Local,13/09/2026,2000,2500,2400
Karnataka,Vijayanagara,"Hospet APMC",Cucumbar(Kheera),Cucumbar,Local,13/09/2026,1600,1800,1800
Karnataka,Vijayanagara,"Hospet APMC",Brinjal,Brinjal,Local,13/09/2026,3000,3200,3200
Maharashtra,Buldhana,"APMC Buldhana ",Maize,Yellow,Non-FAQ,13/09/2026,2000,2200,2100
Maharashtra,Buldhana,"APMC Buldhana ","Bengal Gram(Gram)(Whole)",Other,Non-FAQ,13/09/2026,5000,5600,5300
Maharashtra,Buldhana,"APMC Buldhana ","Green Gram(Moong)(Whole)","Green (Whole)",Non-FAQ,13/09/2026,7000,8000,7500
"Madhya Pradesh",Indore,"Sanwer(F&V) APMC","Bottle gourd","Bottle Gourd",FAQ,13/09/2026,800,1200,1000
