"Date Wise Prices for Specified Commodity on March, 2025 for Commodity : Tomato, State/UT : Telangana"
"Commodity : Tomato, State/UT : Telangana"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bowenpally APMC
01/03/2025,271.1,Deshi,400.0,1000.0,800.0
02/03/2025,270.0,Deshi,400.0,1000.0,800.0
03/03/2025,216.9,Deshi,400.0,1000.0,800.0
04/03/2025,283.6,Deshi,400.0,1000.0,800.0
05/03/2025,245.8,Deshi,400.0,1000.0,800.0
07/03/2025,228.5,Deshi,800.0,3000.0,2400.0
08/03/2025,234.4,Deshi,400.0,1000.0,800.0
09/03/2025,294.2,Deshi,400.0,1000.0,800.0
10/03/2025,185.7,Deshi,400.0,1000.0,800.0
11/03/2025,171.8,Deshi,400.0,1000.0,800.0
12/03/2025,314.1,Deshi,400.0,800.0,700.0
14/03/2025,172.2,Deshi,400.0,800.0,700.0
15/03/2025,206.0,Deshi,600.0,800.0,700.0
16/03/2025,252.5,Deshi,400.0,800.0,700.0
17/03/2025,226.6,Deshi,400.0,800.0,700.0
18/03/2025,270.5,Deshi,400.0,800.0,700.0
19/03/2025,280.8,Deshi,400.0,800.0,700.0
20/03/2025,232.4,Deshi,400.0,800.0,700.0
21/03/2025,262.8,Deshi,400.0,800.0,700.0
22/03/2025,218.1,Deshi,400.0,800.0,700.0
23/03/2025,187.9,Deshi,400.0,800.0,700.0
24/03/2025,208.0,Deshi,400.0,800.0,700.0
25/03/2025,272.6,Deshi,400.0,800.0,700.0
26/03/2025,259.8,Deshi,400.0,800.0,700.0
27/03/2025,237.0,Deshi,400.0,800.0,700.0
28/03/2025,190.4,Deshi,400.0,800.0,700.0
29/03/2025,228.2,Deshi,400.0,800.0,700.0
31/03/2025,97.8,Deshi,400.0,1400.0,1100.0
Market Name : Chevella APMC
01/03/2025,6.5,Deshi,1000.0,1000.0,1000.0
02/03/2025,5.5,Deshi,1000.0,1000.0,1000.0
03/03/2025,5.6,Deshi,1000.0,1000.0,1000.0
04/03/2025,5.6,Deshi,1000.0,1000.0,1000.0
05/03/2025,8.5,Deshi,1000.0,1000.0,1000.0
06/03/2025,6.5,Deshi,1000.0,1000.0,1000.0
07/03/2025,5.2,Deshi,1000.0,1000.0,1000.0
08/03/2025,5.6,Deshi,1000.0,1000.0,1000.0
09/03/2025,5.6,Deshi,1000.0,1000.0,1000.0
10/03/2025,9.0,Deshi,1000.0,1000.0,1000.0
12/03/2025,8.5,Deshi,1000.0,1000.0,1000.0
13/03/2025,8.5,Deshi,1000.0,1000.0,1000.0
14/03/2025,8.5,Deshi,1000.0,1000.0,1000.0
15/03/2025,8.0,Deshi,1000.0,1000.0,1000.0
16/03/2025,5.0,Deshi,1000.0,1000.0,1000.0
17/03/2025,8.0,Deshi,1000.0,1000.0,1000.0
19/03/2025,8.0,Deshi,1000.0,1000.0,1000.0
20/03/2025,5.0,Deshi,1000.0,1000.0,1000.0
21/03/2025,6.0,Deshi,1000.0,1000.0,1000.0
22/03/2025,0.6,Deshi,1000.0,1000.0,1000.0
23/03/2025,5.8,Deshi,1000.0,1000.0,1000.0
24/03/2025,6.0,Deshi,1000.0,1000.0,1000.0
25/03/2025,6.5,Deshi,1000.0,1000.0,1000.0
26/03/2025,8.5,Deshi,1000.0,1000.0,1000.0
27/03/2025,5.6,Deshi,1000.0,1000.0,1000.0
