"Date Wise Prices for Specified Commodity on April, 2025 for Commodity : Tomato, State/UT : Telangana"
"Commodity : Tomato, State/UT : Telangana"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bowenpally APMC
01/04/2025,199.7,Deshi,400.0,1200.0,1000.0
02/04/2025,293.4,Deshi,400.0,1000.0,800.0
03/04/2025,189.5,Deshi,400.0,1000.0,800.0
04/04/2025,171.4,Deshi,400.0,800.0,650.0
05/04/2025,140.4,Deshi,400.0,800.0,700.0
06/04/2025,204.1,Deshi,400.0,1000.0,800.0
07/04/2025,232.1,Deshi,400.0,1000.0,800.0
09/04/2025,196.7,Deshi,400.0,1000.0,800.0
10/04/2025,209.5,Deshi,400.0,1000.0,800.0
11/04/2025,168.6,Deshi,400.0,1200.0,900.0
12/04/2025,270.1,Deshi,400.0,1200.0,1000.0
13/04/2025,252.8,Deshi,400.0,1000.0,800.0
14/04/2025,196.5,Deshi,400.0,1000.0,800.0
15/04/2025,163.9,Deshi,400.0,1200.0,1000.0
16/04/2025,197.1,Deshi,400.0,1200.0,1000.0
17/04/2025,253.6,Deshi,400.0,1200.0,1000.0
18/04/2025,211.2,Deshi,400.0,1000.0,800.0
19/04/2025,191.3,Deshi,400.0,1200.0,1000.0
20/04/2025,214.8,Deshi,400.0,1000.0,800.0
21/04/2025,134.3,Deshi,400.0,1200.0,1000.0
22/04/2025,225.4,Deshi,400.0,1200.0,1000.0
23/04/2025,223.2,Deshi,400.0,1200.0,1000.0
24/04/2025,234.5,Deshi,400.0,1200.0,1000.0
25/04/2025,200.1,Deshi,400.0,1000.0,800.0
26/04/2025,270.4,Deshi,400.0,1200.0,1000.0
28/04/2025,282.2,Deshi,400.0,1200.0,1000.0
29/04/2025,300.0,Deshi,400.0,1200.0,1000.0
30/04/2025,299.0,Deshi,400.0,1200.0,1000.0
Market Name : Chevella APMC
02/04/2025,8.0,Deshi,1000.0,1000.0,1000.0
03/04/2025,6.0,Deshi,1000.0,1000.0,1000.0
04/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
05/04/2025,0.6,Deshi,1000.0,1000.0,1000.0
07/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
09/04/2025,0.5,Deshi,1000.0,1000.0,1000.0
10/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
11/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
12/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
13/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
15/04/2025,5.8,Deshi,1000.0,1000.0,1000.0
16/04/2025,8.0,Deshi,1000.0,1000.0,1000.0
18/04/2025,4.5,Deshi,1000.0,1000.0,1000.0
19/04/2025,8.0,Deshi,1000.0,1000.0,1000.0
20/04/2025,6.5,Deshi,1000.0,1000.0,1000.0
23/04/2025,7.5,Deshi,1000.0,1000.0,1000.0
24/04/2025,5.0,Deshi,1000.0,1000.0,1000.0
25/04/2025,5.6,Deshi,1000.0,1000.0,1000.0
26/04/2025,5.0,Deshi,1000.0,1000.0,1000.0
27/04/2025,6.5,Deshi,1000.0,1000.0,1000.0
28/04/2025,6.0,Deshi,1000.0,1000.0,1000.0
30/04/2025,5.0,Deshi,1000.0,1000.0,1000.0
Market Name : Gudimalkapur APMC
