"Date Wise Prices for Specified Commodity on June, 2025 for Commodity : Tomato, State/UT : Telangana"
"Commodity : Tomato, State/UT : Telangana"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bowenpally APMC
01/06/2025,319.5,Deshi,400.0,1200.0,1000.0
02/06/2025,281.9,Deshi,400.0,1200.0,1000.0
03/06/2025,343.0,Deshi,400.0,1400.0,1100.0
Market Name : Chevella APMC
01/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
02/06/2025,6.5,Deshi,1000.0,1000.0,1000.0
05/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
06/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
07/06/2025,6.5,Deshi,1000.0,1000.0,1000.0
08/06/2025,8.5,Deshi,1000.0,1000.0,1000.0
09/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
11/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
12/06/2025,5.8,Deshi,1000.0,1000.0,1000.0
13/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
14/06/2025,5.6,Deshi,1000.0,1000.0,1000.0
15/06/2025,6.5,Deshi,1500.0,1500.0,1500.0
16/06/2025,5.5,Deshi,1500.0,1500.0,1500.0
17/06/2025,6.5,Deshi,1500.0,1500.0,1500.0
18/06/2025,5.5,Deshi,1000.0,1000.0,1000.0
19/06/2025,5.6,Deshi,1500.0,1500.0,1500.0
21/06/2025,6.0,Deshi,1500.0,1500.0,1500.0
22/06/2025,5.0,Deshi,1500.0,1500.0,1500.0
23/06/2025,6.5,Deshi,1500.0,1500.0,1500.0
25/06/2025,5.0,Deshi,1500.0,1500.0,1500.0
26/06/2025,5.0,Deshi,1500.0,1500.0,1500.0
27/06/2025,6.0,Deshi,1500.0,1500.0,1500.0
28/06/2025,5.0,Deshi,1200.0,1200.0,1200.0
29/06/2025,5.6,Deshi,1200.0,1200.0,1200.0
30/06/2025,6.0,Deshi,1200.0,1200.0,1200.0
Market Name : Gudimalkapur APMC
01/06/2025,297.6,Deshi,600.0,1200.0,800.0
02/06/2025,197.6,Deshi,400.0,1200.0,800.0
03/06/2025,212.5,Deshi,600.0,1600.0,1000.0
04/06/2025,206.3,Deshi,600.0,1600.0,1000.0
05/06/2025,267.7,Deshi,600.0,1600.0,1000.0
06/06/2025,246.4,Deshi,600.0,1800.0,1000.0
07/06/2025,134.1,Deshi,600.0,1200.0,800.0
09/06/2025,131.6,Deshi,800.0,2400.0,1600.0
10/06/2025,229.0,Deshi,1200.0,2600.0,2000.0
11/06/2025,286.6,Deshi,800.0,2000.0,1500.0
12/06/2025,193.1,Deshi,800.0,2000.0,1200.0
13/06/2025,178.4,Deshi,800.0,1800.0,1200.0
14/06/2025,237.0,Deshi,800.0,1800.0,1200.0
15/06/2025,260.1,Deshi,500.0,2000.0,1200.0
16/06/2025,239.0,Deshi,800.0,2000.0,1400.0
17/06/2025,256.4,Deshi,800.0,2000.0,1200.0
18/06/2025,240.3,Deshi,800.0,2000.0,1200.0
19/06/2025,265.2,Deshi,800.0,2000.0,1000.0
20/06/2025,251.5,Deshi,800.0,1800.0,1200.0
21/06/2025,255.8,Deshi,400.0,1800.0,1000.0
23/06/2025,190.8,Deshi,800.0,2000.0,1200.0
24/06/2025,251.7,Deshi,1000.0,2400.0,1600.0
26/06/2025,308.6,Deshi,1000.0,2800.0,1600.0
27/06/2025,276.4,Deshi,800.0,2600.0,1400.0
28/06/2025,260.8,Deshi,800.0,2200.0,1200.0
29/06/2025,255.9,Deshi,800.0,2200.0,1200.0
30/06/2025,196.4,Deshi,800.0,2200.0,1200.0
Market Name : Ibrahimpatnam APMC
02/06/2025,4.0,Deshi,1000.0,1400.0,1200.0
03/06/2025,4.0,Deshi,1000.0,1600.0,1200.0
04/06/2025,4.0,Deshi,1000.0,1800.0,1500.0
05/06/2025,3.0,Deshi,1000.0,1600.0,1200.0
06/06/2025,3.0,Deshi,1200.0,2000.0,1600.0
07/06/2025,3.0,Deshi,1000.0,2000.0,1500.0
08/06/2025,3.0,Deshi,1000.0,2000.0,1500.0
