"Date Wise Prices for Specified Commodity on July, 2025 for Commodity : Tomato, State/UT : Telangana"
"Commodity : Tomato, State/UT : Telangana"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Chevella APMC
01/07/2025,6.0,Deshi,1000.0,1000.0,1000.0
02/07/2025,6.0,Deshi,1200.0,1200.0,1200.0
03/07/2025,5.0,Deshi,1200.0,1200.0,1200.0
04/07/2025,4.2,Deshi,1200.0,1200.0,1200.0
05/07/2025,4.5,Deshi,2000.0,2000.0,2000.0
06/07/2025,3.5,Deshi,1500.0,1500.0,1500.0
07/07/2025,5.0,Deshi,3000.0,3000.0,3000.0
08/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
09/07/2025,3.5,Deshi,3000.0,3000.0,3000.0
10/07/2025,4.0,Deshi,3000.0,3000.0,3000.0
12/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
13/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
14/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
16/07/2025,3.0,Deshi,3000.0,3000.0,3000.0
17/07/2025,3.2,Deshi,3000.0,3000.0,3000.0
18/07/2025,3.5,Deshi,2000.0,2000.0,2000.0
19/07/2025,2.0,Deshi,4000.0,4000.0,4000.0
20/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
21/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
22/07/2025,2.0,Deshi,3000.0,3000.0,3000.0
23/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
25/07/2025,3.5,Deshi,3000.0,3000.0,3000.0
26/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
28/07/2025,2.0,Deshi,3000.0,3000.0,3000.0
30/07/2025,2.5,Deshi,3000.0,3000.0,3000.0
31/07/2025,2.0,Deshi,3000.0,3000.0,3000.0
Market Name : Gudimalkapur APMC
02/07/2025,189.3,Deshi,800.0,3600.0,1800.0
03/07/2025,195.4,Deshi,1200.0,3800.0,2000.0
04/07/2025,266.4,Deshi,800.0,3200.0,2000.0
05/07/2025,268.5,Deshi,800.0,3400.0,1600.0
06/07/2025,217.0,Deshi,600.0,2800.0,1200.0
07/07/2025,211.0,Deshi,800.0,2800.0,1600.0
09/07/2025,238.3,Deshi,600.0,3200.0,1600.0
10/07/2025,294.8,Deshi,600.0,2800.0,1200.0
11/07/2025,226.3,Deshi,700.0,2800.0,1400.0
12/07/2025,244.4,Deshi,600.0,2800.0,1200.0
13/07/2025,254.6,Deshi,600.0,2400.0,1200.0
14/07/2025,233.1,Deshi,800.0,2800.0,1200.0
15/07/2025,226.8,Deshi,600.0,2800.0,1600.0
16/07/2025,201.9,Deshi,800.0,2800.0,1400.0
17/07/2025,241.6,Deshi,800.0,2800.0,1600.0
18/07/2025,209.1,Deshi,400.0,2800.0,1200.0
19/07/2025,236.8,Deshi,800.0,2400.0,1200.0
20/07/2025,202.8,Deshi,800.0,3200.0,1400.0
22/07/2025,200.3,Deshi,800.0,4400.0,2000.0
23/07/2025,250.0,Deshi,600.0,4800.0,2000.0
25/07/2025,311.7,Deshi,600.0,3200.0,1200.0
26/07/2025,287.0,Deshi,600.0,3600.0,1200.0
27/07/2025,238.4,Deshi,800.0,3600.0,1600.0
29/07/2025,266.6,Deshi,1200.0,5200.0,3200.0
30/07/2025,334.0,Deshi,800.0,4400.0,2000.0
Market Name : Ibrahimpatnam APMC
01/07/2025,3.0,Deshi,1500.0,3000.0,2000.0
02/07/2025,3.0,Deshi,1500.0,2500.0,2000.0
04/07/2025,2.0,Deshi,2000.0,3000.0,2500.0
05/07/2025,2.5,Deshi,2000.0,3000.0,2500.0
06/07/2025,2.5,Deshi,2200.0,3200.0,2600.0
12/07/2025,2.5,Deshi,2000.0,3000.0,2500.0
13/07/2025,2.5,Deshi,2000.0,3000.0,2500.0
25/07/2025,2.0,Deshi,2500.0,3500.0,3000.0
26/07/2025,2.0,Deshi,2500.0,3500.0,3000.0
27/07/2025,1.5,Deshi,3000.0,4000.0,3500.0
28/07/2025,2.0,Deshi,3000.0,4000.0,3500.0
31/07/2025,2.0,Deshi,2000.0,3000.0,2500.0
Market Name : Jainath APMC
02/07/2025,16.0,Deshi,550.0,625.0,587.0
09/07/2025,16.0,Deshi,550.0,625.0,587.0
11/07/2025,48.0,Deshi,550.0,625.0,587.0
12/07/2025,32.0,Deshi,550.0,625.0,587.0
13/07/2025,32.0,Deshi,550.0,625.0,587.0
16/07/2025,16.0,Deshi,550.0,625.0,587.0
17/07/2025,16.0,Deshi,550.0,625.0,587.0
19/07/2025,16.0,Deshi,550.0,625.0,587.0
21/07/2025,16.0,Deshi,550.0,625.0,587.0
22/07/2025,16.0,Deshi,550.0,625.0,587.0
23/07/2025,48.0,Deshi,550.0,625.0,587.0
25/07/2025,32.0,Deshi,550.0,625.0,587.0
27/07/2025,64.0,Deshi,550.0,625.0,587.0
28/07/2025,16.0,Deshi,550.0,625.0,587.0
29/07/2025,32.0,Deshi,550.0,625.0,587.0
30/07/2025,48.0,Deshi,550.0,625.0,587.0
31/07/2025,48.0,Deshi,550.0,625.0,587.0
Market Name : Kalwakurthy APMC
01/07/2025,1.5,Local,1500.0,2000.0,1750.0
02/07/2025,1.2,Local,1800.0,2800.0,2300.0
03/07/2025,1.6,Local,2000.0,2500.0,2250.0
04/07/2025,2.5,Local,2000.0,2800.0,2400.0
05/07/2025,3.3,Local,2000.0,2500.0,2250.0
07/07/2025,5.9,Local,1600.0,2200.0,1900.0
09/07/2025,4.1,Local,800.0,1500.0,1150.0
11/07/2025,2.6,Local,1000.0,1500.0,1250.0
12/07/2025,3.4,Local,1000.0,1600.0,1300.0
13/07/2025,6.0,Local,1200.0,2000.0,1600.0
14/07/2025,4.2,Local,1000.0,2000.0,1500.0
15/07/2025,2.7,Local,1200.0,2000.0,1600.0
16/07/2025,4.6,Local,1000.0,2000.0,1500.0
17/07/2025,3.6,Local,1000.0,1800.0,1400.0
18/07/2025,1.2,Local,1500.0,1800.0,1700.0
22/07/2025,1.7,Local,1500.0,2800.0,2150.0
23/07/2025,3.0,Local,1600.0,2800.0,2200.0
25/07/2025,4.0,Local,1200.0,2800.0,2000.0
26/07/2025,3.0,Local,1200.0,3000.0,2100.0
30/07/2025,4.2,Local,1600.0,2500.0,2050.0
31/07/2025,5.8,Local,1000.0,2100.0,1550.0
Market Name : Khammam APMC
05/07/2025,450.0,Local,2200.0,2500.0,2200.0
06/07/2025,300.0,Local,2000.0,2400.0,2000.0
07/07/2025,440.0,Local,2400.0,2600.0,2400.0
09/07/2025,420.0,Local,2000.0,2600.0,2000.0
12/07/2025,420.0,Local,2400.0,3400.0,2400.0
13/07/2025,300.0,Local,2500.0,3000.0,2500.0
19/07/2025,450.0,Local,3200.0,3400.0,3200.0
