"Date Wise Prices for Specified Commodity on August, 2025 for Commodity : Tomato, State/UT : Telangana"
"Commodity : Tomato, State/UT : Telangana"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bowenpally APMC
09/08/2025,185.4,Deshi,800.0,3200.0,2500.0
10/08/2025,254.4,Deshi,800.0,3400.0,2500.0
13/08/2025,224.5,Deshi,600.0,3400.0,2500.0
14/08/2025,273.0,Deshi,800.0,3400.0,2500.0
15/08/2025,198.5,Deshi,800.0,3600.0,2800.0
16/08/2025,319.5,Deshi,800.0,3600.0,2800.0
18/08/2025,281.4,Deshi,800.0,3000.0,2500.0
19/08/2025,155.3,Deshi,800.0,3200.0,2500.0
20/08/2025,268.5,Deshi,800.0,3200.0,2500.0
22/08/2025,394.0,Deshi,600.0,3800.0,2800.0
25/08/2025,348.2,Deshi,600.0,3000.0,2400.0
26/08/2025,377.8,Deshi,400.0,2800.0,2000.0
27/08/2025,217.0,Deshi,600.0,2400.0,1800.0
28/08/2025,198.7,Deshi,400.0,2600.0,2000.0
29/08/2025,240.8,Deshi,800.0,2800.0,2400.0
30/08/2025,451.3,Deshi,800.0,2800.0,2400.0
31/08/2025,452.1,Deshi,800.0,3000.0,2400.0
Market Name : Chennur APMC
06/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
07/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
08/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
09/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
11/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
12/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
13/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
18/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
19/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
20/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
21/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
28/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
29/08/2025,0.1,Deshi,5000.0,5000.0,5000.0
Market Name : Chevella APMC
01/08/2025,2.5,Deshi,2000.0,2000.0,2000.0
03/08/2025,2.5,Deshi,3000.0,3000.0,3000.0
04/08/2025,4.5,Deshi,2000.0,2000.0,2000.0
06/08/2025,5.5,Deshi,2000.0,2000.0,2000.0
07/08/2025,5.5,Deshi,2000.0,2000.0,2000.0
08/08/2025,3.5,Deshi,2000.0,2000.0,2000.0
09/08/2025,6.0,Deshi,2000.0,2000.0,2000.0
10/08/2025,5.6,Deshi,3000.0,3000.0,3000.0
11/08/2025,7.0,Deshi,2000.0,2000.0,2000.0
13/08/2025,3.5,Deshi,3000.0,3000.0,3000.0
14/08/2025,5.5,Deshi,2000.0,2000.0,2000.0
15/08/2025,5.0,Deshi,2000.0,2000.0,2000.0
16/08/2025,5.0,Deshi,2000.0,2000.0,2000.0
17/08/2025,5.5,Deshi,2000.0,2000.0,2000.0
18/08/2025,5.5,Deshi,2000.0,2000.0,2000.0
19/08/2025,5.0,Deshi,2500.0,2500.0,2500.0
20/08/2025,5.0,Deshi,2000.0,2000.0,2000.0
22/08/2025,5.0,Deshi,2500.0,2500.0,2500.0
23/08/2025,5.6,Deshi,2500.0,2500.0,2500.0
25/08/2025,6.0,Deshi,2000.0,2000.0,2000.0
26/08/2025,5.6,Deshi,2000.0,2000.0,2000.0
29/08/2025,5.0,Deshi,2000.0,2000.0,2000.0
30/08/2025,5.8,Deshi,2000.0,2000.0,2000.0
31/08/2025,5.6,Deshi,3000.0,3000.0,3000.0
Market Name : Gudimalkapur APMC
01/08/2025,242.5,Deshi,800.0,3600.0,1600.0
02/08/2025,223.5,Deshi,600.0,4000.0,1600.0
03/08/2025,256.4,Deshi,800.0,4400.0,2000.0
04/08/2025,254.2,Deshi,800.0,4000.0,2200.0
05/08/2025,262.3,Deshi,800.0,4000.0,1800.0
06/08/2025,230.0,Deshi,800.0,4800.0,1600.0
07/08/2025,231.3,Deshi,800.0,4800.0,1600.0
08/08/2025,205.0,Deshi,400.0,4400.0,1400.0
09/08/2025,171.0,Deshi,800.0,4400.0,1800.0
10/08/2025,264.8,Deshi,800.0,4800.0,1600.0
11/08/2025,233.2,Deshi,800.0,4400.0,1600.0
12/08/2025,313.3,Deshi,800.0,4000.0,1600.0
13/08/2025,286.4,Deshi,800.0,4400.0,1600.0
14/08/2025,230.0,Deshi,600.0,4000.0,1600.0
15/08/2025,176.8,Deshi,800.0,4000.0,1800.0
16/08/2025,242.0,Deshi,800.0,4000.0,1600.0
17/08/2025,299.7,Deshi,800.0,4000.0,1600.0
18/08/2025,236.5,Deshi,800.0,4000.0,1600.0
19/08/2025,193.2,Deshi,800.0,4000.0,1600.0
20/08/2025,188.1,Deshi,800.0,4000.0,1800.0
21/08/2025,267.3,Deshi,800.0,4400.0,1800.0
22/08/2025,316.8,Deshi,800.0,4400.0,2000.0
24/08/2025,303.7,Deshi,800.0,4000.0,2000.0
26/08/2025,328.0,Deshi,800.0,3600.0,2000.0
27/08/2025,255.1,Deshi,800.0,3200.0,1400.0
28/08/2025,185.9,Deshi,800.0,3200.0,1600.0
29/08/2025,120.7,Deshi,800.0,4000.0,2000.0
30/08/2025,331.8,Deshi,800.0,3200.0,1600.0
31/08/2025,392.5,Deshi,600.0,3600.0,1400.0
Market Name : Ibrahimpatnam APMC
01/08/2025,2.0,Deshi,2000.0,3000.0,2500.0
03/08/2025,3.0,Deshi,3000.0,4000.0,3500.0
08/08/2025,2.0,Deshi,3000.0,4000.0,3500.0
09/08/2025,2.0,Deshi,3000.0,4000.0,3500.0
10/08/2025,2.0,Deshi,3200.0,4200.0,3800.0
11/08/2025,2.0,Deshi,3000.0,4000.0,3500.0
13/08/2025,2.0,Deshi,3000.0,4000.0,3500.0
15/08/2025,2.0,Deshi,2800.0,4000.0,3500.0
16/08/2025,2.5,Deshi,3000.0,4000.0,3500.0
17/08/2025,2.5,Deshi,3000.0,4000.0,3500.0
18/08/2025,2.5,Deshi,3200.0,4200.0,3800.0
Market Name : Jainath APMC
01/08/2025,64.0,Deshi,550.0,625.0,587.0
02/08/2025,32.0,Deshi,550.0,625.0,587.0
03/08/2025,32.0,Deshi,550.0,625.0,587.0
04/08/2025,16.0,Deshi,550.0,625.0,587.0
05/08/2025,32.0,Deshi,550.0,625.0,587.0
06/08/2025,16.0,Deshi,550.0,625.0,587.0
07/08/2025,16.0,Deshi,550.0,625.0,587.0
08/08/2025,16.0,Deshi,550.0,625.0,587.0
10/08/2025,32.0,Deshi,550.0,625.0,587.0
11/08/2025,32.0,Deshi,550.0,625.0,587.0
18/08/2025,32.0,Deshi,550.0,625.0,587.0
27/08/2025,16.0,Deshi,550.0,625.0,587.0
30/08/2025,16.0,Deshi,550.0,625.0,587.0
Market Name : Kalwakurthy APMC
01/08/2025,3.2,Local,1000.0,2200.0,1600.0
02/08/2025,4.1,Local,2000.0,3600.0,2800.0
03/08/2025,2.3,Local,2000.0,2800.0,2400.0
07/08/2025,4.6,Local,1600.0,3250.0,2425.0
08/08/2025,3.9,Local,1400.0,2600.0,2000.0
09/08/2025,2.7,Local,1200.0,3000.0,2100.0
10/08/2025,4.6,Local,1200.0,3000.0,2100.0
11/08/2025,4.1,Local,1400.0,2600.0,2000.0
12/08/2025,3.4,Local,1200.0,2500.0,1850.0
13/08/2025,5.2,Local,800.0,2000.0,1400.0
15/08/2025,3.2,Local,1200.0,2400.0,1800.0
16/08/2025,3.6,Local,1000.0,2000.0,1500.0
17/08/2025,5.2,Local,1200.0,2400.0,1800.0
18/08/2025,2.8,Local,1000.0,2200.0,1600.0
19/08/2025,2.4,Local,1000.0,2400.0,1700.0
20/08/2025,2.9,Local,1100.0,2800.0,1950.0
21/08/2025,3.7,Local,800.0,3900.0,1850.0
22/08/2025,3.6,Local,1200.0,2800.0,2000.0
23/08/2025,3.4,Local,1400.0,2800.0,2100.0
24/08/2025,4.6,Local,1000.0,2800.0,1900.0
27/08/2025,2.8,Local,800.0,2500.0,1650.0
28/08/2025,2.7,Local,1600.0,2500.0,2050.0
29/08/2025,3.7,Local,1200.0,2500.0,1850.0
30/08/2025,4.4,Local,1000.0,2400.0,1700.0
31/08/2025,5.2,Local,1200.0,2500.0,1850.0
Market Name : Khammam APMC
02/08/2025,450.0,Local,3200.0,4400.0,3200.0
03/08/2025,250.0,Local,3600.0,4200.0,3600.0
08/08/2025,450.0,Local,3800.0,4400.0,3800.0
09/08/2025,420.0,Local,2400.0,4200.0,2400.0
10/08/2025,460.0,Local,2800.0,4000.0,2800.0
15/08/2025,450.0,Local,2600.0,3600.0,2600.0
16/08/2025,430.0,Local,2600.0,3600.0,2600.0
17/08/2025,300.0,Local,2800.0,4000.0,2800.0
23/08/2025,450.0,Local,3000.0,4000.0,3000.0
24/08/2025,300.0,Local,7500.0,10000.0,7500.0
27/08/2025,420.0,Local,2800.0,3200.0,2800.0
30/08/2025,480.0,Local,2800.0,3600.0,2800.0
Market Name : Kukatpally Rythu Bazar APMC
02/08/2025,15.6,Deshi,4100.0,4100.0,4100.0
08/08/2025,12.2,Deshi,3900.0,3900.0,3900.0
11/08/2025,12.3,Deshi,3700.0,3700.0,3700.0
12/08/2025,13.1,Deshi,3700.0,3700.0,3700.0
14/08/2025,13.6,Deshi,3700.0,3700.0,3700.0
16/08/2025,14.5,Deshi,3900.0,3900.0,3900.0
18/08/2025,12.6,Deshi,3300.0,3300.0,3300.0
19/08/2025,13.1,Deshi,3500.0,3500.0,3500.0
21/08/2025,13.5,Deshi,3700.0,3700.0,3700.0
22/08/2025,13.0,Deshi,4100.0,4100.0,4100.0
24/08/2025,15.6,Deshi,3500.0,3500.0,3500.0
25/08/2025,13.6,Deshi,3300.0,3300.0,3300.0
30/08/2025,14.8,Deshi,3100.0,3100.0,3100.0
31/08/2025,16.2,Deshi,3300.0,3300.0,3300.0
Market Name : L B Nagar APMC
01/08/2025,38.9,Deshi,1600.0,3200.0,2000.0
02/08/2025,80.8,Deshi,1600.0,3200.0,2000.0
03/08/2025,66.1,Deshi,1600.0,3200.0,2000.0
04/08/2025,69.3,Deshi,1600.0,3200.0,2400.0
05/08/2025,65.0,Deshi,1600.0,3600.0,2400.0
06/08/2025,67.6,Deshi,1600.0,4400.0,2800.0
07/08/2025,82.2,Deshi,2000.0,4000.0,2800.0
08/08/2025,49.1,Deshi,2000.0,3200.0,2400.0
09/08/2025,39.2,Deshi,1600.0,3200.0,2800.0
10/08/2025,52.5,Deshi,1600.0,3200.0,2400.0
11/08/2025,66.6,Deshi,1600.0,4000.0,2800.0
12/08/2025,62.0,Deshi,1200.0,4000.0,2400.0
13/08/2025,68.8,Deshi,1200.0,4000.0,2400.0
14/08/2025,64.0,Deshi,1200.0,3200.0,2000.0
15/08/2025,54.2,Deshi,1600.0,3200.0,2000.0
16/08/2025,71.4,Deshi,1200.0,2800.0,2000.0
17/08/2025,75.9,Deshi,1200.0,3200.0,2000.0
18/08/2025,50.5,Deshi,1600.0,3200.0,2400.0
19/08/2025,36.1,Deshi,1600.0,3200.0,2400.0
20/08/2025,55.0,Deshi,1200.0,3200.0,2400.0
21/08/2025,55.0,Deshi,1200.0,3200.0,2400.0
22/08/2025,70.2,Deshi,1600.0,3600.0,2800.0
24/08/2025,80.7,Deshi,1200.0,3600.0,2800.0
25/08/2025,84.2,Deshi,1200.0,3600.0,2400.0
26/08/2025,69.0,Deshi,1200.0,3200.0,2000.0
27/08/2025,70.1,Deshi,1200.0,2800.0,2000.0
28/08/2025,34.5,Deshi,1000.0,1800.0,1400.0
29/08/2025,59.2,Deshi,1200.0,2400.0,1600.0
30/08/2025,89.0,Deshi,1200.0,2400.0,1600.0
31/08/2025,84.1,Deshi,1200.0,2400.0,1600.0
Market Name : Mahabubnagar(Rythu Bazar)
01/08/2025,1.78,Deshi,3800.0,4200.0,4000.0
02/08/2025,2.75,Deshi,3800.0,4200.0,4000.0
04/08/2025,1.78,Deshi,3800.0,4200.0,4000.0
06/08/2025,2.23,Deshi,4800.0,5200.0,5000.0
07/08/2025,2.43,Deshi,4800.0,5200.0,5000.0
18/08/2025,2.28,Deshi,3800.0,4200.0,4000.0
19/08/2025,2.28,Deshi,3800.0,4200.0,4000.0
21/08/2025,2.48,Deshi,3800.0,4200.0,4000.0
22/08/2025,1.85,Deshi,3800.0,4200.0,4000.0
23/08/2025,2.38,Deshi,3800.0,4200.0,4000.0
28/08/2025,2.53,Deshi,3000.0,3400.0,3200.0
Market Name : Mahboob Manison APMC
01/08/2025,13.7,Deshi,2400.0,3200.0,2800.0
02/08/2025,14.5,Deshi,2000.0,3200.0,2600.0
03/08/2025,16.0,Deshi,2200.0,3600.0,3200.0
04/08/2025,17.2,Deshi,2400.0,3600.0,3000.0
06/08/2025,15.0,Deshi,2400.0,4400.0,4000.0
07/08/2025,17.2,Deshi,2400.0,4000.0,3200.0
08/08/2025,12.5,Deshi,2400.0,3200.0,2800.0
09/08/2025,9.0,Deshi,2400.0,3200.0,2800.0
10/08/2025,14.7,Deshi,2400.0,4000.0,3200.0
11/08/2025,15.0,Deshi,2400.0,4000.0,3200.0
12/08/2025,14.7,Deshi,2000.0,3200.0,2600.0
13/08/2025,14.7,Deshi,2000.0,4000.0,3200.0
14/08/2025,13.5,Deshi,2400.0,3200.0,2800.0
17/08/2025,14.7,Deshi,2400.0,3200.0,2800.0
18/08/2025,12.5,Deshi,2400.0,3200.0,2800.0
19/08/2025,13.2,Deshi,2400.0,3200.0,2800.0
20/08/2025,13.6,Deshi,2400.0,4000.0,3200.0
21/08/2025,13.5,Deshi,2400.0,4000.0,3200.0
22/08/2025,14.5,Deshi,3200.0,4000.0,3600.0
24/08/2025,14.3,Deshi,2400.0,3200.0,2800.0
25/08/2025,14.2,Deshi,2400.0,3200.0,2800.0
26/08/2025,15.0,Deshi,2400.0,3200.0,2800.0
28/08/2025,12.5,Deshi,1600.0,2400.0,2000.0
29/08/2025,14.2,Deshi,2000.0,3200.0,2400.0
30/08/2025,18.5,Deshi,1600.0,2800.0,2400.0
31/08/2025,13.0,Deshi,1200.0,2000.0,1600.0
Market Name : Mancherial APMC
01/08/2025,4.5,Deshi,4950.0,4950.0,4950.0
02/08/2025,4.2,Deshi,4900.0,4900.0,4900.0
04/08/2025,4.7,Deshi,4900.0,4900.0,4900.0
05/08/2025,4.9,Deshi,5100.0,5100.0,5100.0
08/08/2025,4.7,Deshi,4800.0,4800.0,4800.0
09/08/2025,4.7,Deshi,4800.0,4800.0,4800.0
10/08/2025,4.5,Deshi,4800.0,4800.0,4800.0
11/08/2025,5.2,Deshi,4800.0,4800.0,4800.0
14/08/2025,5.4,Deshi,4900.0,4900.0,4900.0
15/08/2025,4.8,Deshi,4900.0,4900.0,4900.0
16/08/2025,4.8,Deshi,4900.0,4900.0,4900.0
17/08/2025,4.7,Deshi,4900.0,4900.0,4900.0
18/08/2025,3.9,Deshi,4900.0,4900.0,4900.0
19/08/2025,4.6,Deshi,4950.0,4950.0,4950.0
20/08/2025,5.4,Deshi,4950.0,4950.0,4950.0
21/08/2025,4.7,Deshi,4900.0,4900.0,4900.0
22/08/2025,4.5,Deshi,4900.0,4900.0,4900.0
23/08/2025,4.6,Deshi,4900.0,4900.0,4900.0
24/08/2025,4.5,Deshi,4900.0,4900.0,4900.0
25/08/2025,4.3,Deshi,4900.0,4900.0,4900.0
26/08/2025,5.2,Deshi,4970.0,4970.0,4970.0
27/08/2025,5.4,Deshi,4950.0,4950.0,4950.0
29/08/2025,4.8,Deshi,4500.0,4500.0,4500.0
30/08/2025,4.8,Deshi,4500.0,4500.0,4500.0
31/08/2025,4.2,Deshi,4500.0,4500.0,4500.0
"Market Name : Pavilion Ground,Khammam,RBZ"
01/08/2025,3.45,Deshi,3500.0,5000.0,4400.0
02/08/2025,3.25,Deshi,3200.0,5000.0,4600.0
03/08/2025,7.68,Deshi,3600.0,5200.0,4600.0
04/08/2025,8.9,Deshi,3480.0,5140.0,4560.0
06/08/2025,0.98,Deshi,3400.0,4900.0,4500.0
07/08/2025,0.89,Deshi,3200.0,5000.0,4609.0
